Repeat,Generation,X1,X2,F(x)
28,40,-0.800946059357595885330738383345305919647216796875,-7.70778973067826367326915715239010751247406005859375,186.729405595427209618719643913209438323974609375,
28,50,-0.800946059357595885330738383345305919647216796875,-7.70778973067826367326915715239010751247406005859375,186.729405595427209618719643913209438323974609375,
Repeat,Generation,X1,X2,F(x)
29,0,-1.396963454642556001772391027770936489105224609375,4.1432822156099806676365915336646139621734619140625,56.21992246653980629389479872770607471466064453125,
29,10,-1.389944304570075672700113500468432903289794921875,-0.827496757457847564865005551837384700775146484375,182.213685247128097444146987982094287872314453125,
29,20,-1.4283970397497522952789950068108737468719482421875,-0.808575570305944069104953086934983730316162109375,186.555330345312796680445899255573749542236328125,
29,30,-1.4259555962462808764712463016621768474578857421875,-0.798809796292058393873958266340196132659912109375,186.7242683960284921340644359588623046875,
29,40,-1.4259555962462808764712463016621768474578857421875,-0.800640878919661957979769795201718807220458984375,186.729088580398382646308164112269878387451171875,
29,50,-1.4259555962462808764712463016621768474578857421875,-0.800335698481728030628801207058131694793701171875,186.7293140907380575299612246453762054443359375,
Repeat,Generation,X1,X2,F(x)
30,0,-7.043106736858167238324313075281679630279541015625,-1.7149614709697100778384992736391723155975341796875,40.35154359429833448302815668284893035888671875,
30,10,4.848554207675288552081838133744895458221435546875,-7.20332646677347998576124155079014599323272705078125,155.366425078892376632211380638182163238525390625,
30,20,4.858014801251240299961864366196095943450927734375,-0.796978713664454829768146737478673458099365234375,186.70623001974553289983305148780345916748046875,
30,30,4.858014801251240299961864366196095943450927734375,-0.798809796292058393873958266340196132659912109375,186.725858495944436299396329559385776519775390625,
30,40,4.858014801251240299961864366196095943450927734375,-0.799420157167926248575895442627370357513427734375,186.729111227202423606286174617707729339599609375,
30,50,4.858014801251240299961864366196095943450927734375,-0.800030518043794103277832618914544582366943359375,186.7307181188074309829971753060817718505859375,
Repeat,Generation,X1,X2,F(x)
31,0,6.054322117952239068472408689558506011962890625,-6.896009765774014255157453590072691440582275390625,76.215900328636934091264265589416027069091796875,
31,10,-0.7649347676813906815596055821515619754791259765625,-1.402761882963300621440794202499091625213623046875,182.830805255352146332370466552674770355224609375,
31,20,-0.7789730678263513397041606367565691471099853515625,-1.403067063401234548791762790642678737640380859375,184.5935263644688575368491001427173614501953125,
31,30,-0.7783627069504834850022234604693949222564697265625,-1.4396887159533076072648327681235969066619873046875,185.181069438407661209566867910325527191162109375,
31,40,-0.7789730678263513397041606367565691471099853515625,-1.4372472724498361884570840629749000072479248046875,185.38887804516133428478497080504894256591796875,
