Repeat,Generation,X1,X2,F(x)
22,50,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
Repeat,Generation,X1,X2,F(x)
23,0,4.745098039215687180103486753068864345550537109375,-6.78431372549019595652453062939457595348358154296875,28.9784018801444034352243761532008647918701171875,
23,10,-0.823529411764706509302413905970752239227294921875,4.823529411764706509302413905970752239227294921875,182.814007886989173812253284268081188201904296875,
23,20,-7.098039215686274161498658941127359867095947265625,4.823529411764706509302413905970752239227294921875,183.5286065448698309410247020423412322998046875,
23,30,-7.098039215686274161498658941127359867095947265625,4.823529411764706509302413905970752239227294921875,183.5286065448698309410247020423412322998046875,
23,40,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
23,50,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
Repeat,Generation,X1,X2,F(x)
24,0,8.588235294117648521705632447265088558197021484375,4.823529411764706509302413905970752239227294921875,37.07862811266094382744995527900755405426025390625,
24,10,5.4509803921568629192506705294363200664520263671875,-6.5490196078431370807493294705636799335479736328125,112.56254252496802337191184051334857940673828125,
24,20,-7.098039215686274161498658941127359867095947265625,4.823529411764706509302413905970752239227294921875,183.5286065448698309410247020423412322998046875,
24,30,-7.098039215686274161498658941127359867095947265625,4.823529411764706509302413905970752239227294921875,183.5286065448698309410247020423412322998046875,
24,40,-7.098039215686274161498658941127359867095947265625,4.823529411764706509302413905970752239227294921875,183.5286065448698309410247020423412322998046875,
24,50,-7.098039215686274161498658941127359867095947265625,4.823529411764706509302413905970752239227294921875,183.5286065448698309410247020423412322998046875,
Repeat,Generation,X1,X2,F(x)
25,0,-7.4901960784313725838501341058872640132904052734375,5.6078431372549015776485248352400958538055419921875,67.135227039239879331944393925368785858154296875,
25,10,-7.72549019607843145962533526471816003322601318359375,5.4509803921568629192506705294363200664520263671875,183.804276305158595050670555792748928070068359375,
25,20,-7.72549019607843145962533526471816003322601318359375,5.4509803921568629192506705294363200664520263671875,183.804276305158595050670555792748928070068359375,
25,30,-7.72549019607843145962533526471816003322601318359375,5.4509803921568629192506705294363200664520263671875,183.804276305158595050670555792748928070068359375,
25,40,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
25,50,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
Repeat,Generation,X1,X2,F(x)
26,0,4.980392156862745167700268211774528026580810546875,-7.25490196078431370807493294705636799335479736328125,101.406225990934530045706196688115596771240234375,
26,10,-1.4509803921568629192506705294363200664520263671875,-7.098039215686274161498658941127359867095947265625,184.724289758670266792250913567841053009033203125,
26,20,-1.4509803921568629192506705294363200664520263671875,-7.098039215686274161498658941127359867095947265625,184.724289758670266792250913567841053009033203125,
26,30,-1.4509803921568629192506705294363200664520263671875,-7.098039215686274161498658941127359867095947265625,184.724289758670266792250913567841053009033203125,
26,40,-1.4509803921568629192506705294363200664520263671875,-7.098039215686274161498658941127359867095947265625,184.724289758670266792250913567841053009033203125,
26,50,-1.4509803921568629192506705294363200664520263671875,-7.098039215686274161498658941127359867095947265625,184.724289758670266792250913567841053009033203125,
Repeat,Generation,X1,X2,F(x)
27,0,6.2352941176470579875967814587056636810302734375,-0.823529411764706509302413905970752239227294921875,87.0211575597119662006662110798060894012451171875,
27,10,-7.098039215686274161498658941127359867095947265625,-7.6470588235294112422479884116910398006439208984375,177.45857599542745219878270290791988372802734375,
27,20,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
27,30,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
27,40,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
27,50,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
Repeat,Generation,X1,X2,F(x)
28,0,-0.6666666666666660745477201999165117740631103515625,-7.4901960784313725838501341058872640132904052734375,65.1980375028824283845096942968666553497314453125,
28,10,5.5294117647058822484495976823382079601287841796875,4.823529411764706509302413905970752239227294921875,179.327041464247969315692898817360401153564453125,
28,20,5.5294117647058822484495976823382079601287841796875,-7.72549019607843145962533526471816003322601318359375,181.333021364477673387227696366608142852783203125,
28,30,5.4509803921568629192506705294363200664520263671875,-7.72549019607843145962533526471816003322601318359375,183.804276305158595050670555792748928070068359375,
28,40,5.4509803921568629192506705294363200664520263671875,-7.72549019607843145962533526471816003322601318359375,183.804276305158595050670555792748928070068359375,
28,50,5.4509803921568629192506705294363200664520263671875,-7.72549019607843145962533526471816003322601318359375,183.804276305158595050670555792748928070068359375,
Repeat,Generation,X1,X2,F(x)
29,0,4.823529411764706509302413905970752239227294921875,-1.9215686274509806708010728470981121063232421875,67.377832888052893167696311138570308685302734375,
29,10,4.901960784313725838501341058872640132904052734375,5.4509803921568629192506705294363200664520263671875,180.003189468325302868834114633500576019287109375,
29,20,4.823529411764706509302413905970752239227294921875,-7.098039215686274161498658941127359867095947265625,183.5286065448698309410247020423412322998046875,
29,30,4.823529411764706509302413905970752239227294921875,-7.098039215686274161498658941127359867095947265625,183.5286065448698309410247020423412322998046875,
29,40,4.823529411764706509302413905970752239227294921875,-7.098039215686274161498658941127359867095947265625,183.5286065448698309410247020423412322998046875,
29,50,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
Repeat,Generation,X1,X2,F(x)
30,0,-6.4705882352941177515504023176617920398712158203125,5.6078431372549015776485248352400958538055419921875,101.8616532452514178430647007189691066741943359375,
30,10,-7.17647058823529437887600579415448009967803955078125,4.823529411764706509302413905970752239227294921875,165.30770415185799038226832635700702667236328125,
30,20,-7.098039215686274161498658941127359867095947265625,4.823529411764706509302413905970752239227294921875,183.5286065448698309410247020423412322998046875,
30,30,-7.098039215686274161498658941127359867095947265625,4.823529411764706509302413905970752239227294921875,183.5286065448698309410247020423412322998046875,
30,40,-7.098039215686274161498658941127359867095947265625,4.823529411764706509302413905970752239227294921875,183.5286065448698309410247020423412322998046875,
30,50,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
Repeat,Generation,X1,X2,F(x)
31,0,5.3725490196078435900517433765344321727752685546875,-7.88235294117647100620160927064716815948486328125,106.8559672229499710738309659063816070556640625,
31,10,5.5294117647058822484495976823382079601287841796875,-7.72549019607843145962533526471816003322601318359375,181.333021364477673387227696366608142852783203125,
31,20,5.4509803921568629192506705294363200664520263671875,-1.4509803921568629192506705294363200664520263671875,182.9551905641918665423872880637645721435546875,
31,30,5.4509803921568629192506705294363200664520263671875,-7.72549019607843145962533526471816003322601318359375,183.804276305158595050670555792748928070068359375,
31,40,5.4509803921568629192506705294363200664520263671875,-7.72549019607843145962533526471816003322601318359375,183.804276305158595050670555792748928070068359375,
31,50,5.4509803921568629192506705294363200664520263671875,-7.72549019607843145962533526471816003322601318359375,183.804276305158595050670555792748928070068359375,
Repeat,Generation,X1,X2,F(x)
32,0,4.6666666666666660745477201999165117740631103515625,-2,48.0534832254833901288293418474495410919189453125,
32,10,-0.823529411764706509302413905970752239227294921875,-7.72549019607843145962533526471816003322601318359375,184.858993530578487707316526211798191070556640625,
32,20,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
32,30,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
32,40,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
32,50,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
Repeat,Generation,X1,X2,F(x)
33,0,-7.72549019607843145962533526471816003322601318359375,-7.25490196078431370807493294705636799335479736328125,124.2520661163177777552846237085759639739990234375,
33,10,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
33,20,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
33,30,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
33,40,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
33,50,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
Repeat,Generation,X1,X2,F(x)
34,0,-0.7450980392156854037466473528183996677398681640625,-1.4509803921568629192506705294363200664520263671875,178.60524201814240541352774016559123992919921875,
34,10,-0.823529411764706509302413905970752239227294921875,-1.4509803921568629192506705294363200664520263671875,184.005035512563239308292395435273647308349609375,
34,20,-0.823529411764706509302413905970752239227294921875,-7.72549019607843145962533526471816003322601318359375,184.858993530578487707316526211798191070556640625,
34,30,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
